anio	mes	tipo_centro	subtipo_centro	centro	categoria	cuartos_disponibles	cuartos_ocupados_no_residentes	cuartos_ocupados_residentes	llegada_turistas_no_residentes	llegada_turistas_residentes	turistas_noche_no_residentes	turistas_noche_residentes
2016	01	Centros de Playa	Otros	Playas de Rosarito	1 estrella	3193	192	637	402	1420	491	1559
2016	01	Centros de Playa	Otros	Playas de Rosarito	2 estrellas	11501	594	1250	1211	2728	1522	3011
2016	01	Centros de Playa	Otros	Playas de Rosarito	3 estrellas	19871	704	1931	1471	4340	1767	4804
2016	01	Centros de Playa	Otros	Playas de Rosarito	4 estrellas	15903	658	2283	1453	5165	1672	5764
2016	01	Centros de Playa	Otros	Playas de Rosarito	5 estrellas	19375	1875	7493	4306	17240	4934	19302
2016	01	Centros de Playa	Otros	Puerto Escondido	1 estrella	9579	413	2909	413	4911	924	7345
2016	01	Centros de Playa	Otros	Puerto Escondido	2 estrellas	17422	502	5516	33	10216	648	14337
2016	01	Centros de Playa	Otros	Puerto Escondido	3 estrellas	17577	260	5128	59	6888	286	10038
2016	01	Centros de Playa	Otros	Puerto Escondido	4 estrellas	18879	1038	9937	297	14099	1946	22144
2016	01	Centros de Playa	Otros	Puerto Escondido	5 estrellas	5704	21	1102	55	2671	55	2987
2016	01	Centros de Playa	Otros	Riviera Maya	2 estrellas	15602	10724	2160	3883	1765	22281	5867
2016	01	Centros de Playa	Otros	Riviera Maya	3 estrellas	54217	39404	1440	18294	1282	83837	3444
2016	01	Centros de Playa	Otros	Riviera Maya	4 estrellas	123853	105558	1270	36038	1067	222660	3551
2016	01	Centros de Playa	Otros	Riviera Maya	5 estrellas	955908	772287	4049	258218	2848	1633728	10474
2016	01	Centros de Playa	Otros	San Felipe	1 estrella	2973	123	236	219	527	255	540
2016	01	Centros de Playa	Otros	San Felipe	2 estrellas	2728	65	281	159	761	159	761
2016	01	Centros de Playa	Otros	San Felipe	3 estrellas	5394	355	342	637	789	742	874
2016	01	Centros de Playa	Otros	San Felipe	4 estrellas	9507	46	97	103	197	103	197
2016	01	Centros de Playa	Otros	Tonalá Puerto Arista	1 estrella	6355	0	1454	0	4473	0	4473
2016	01	Centros de Playa	Otros	Tonalá Puerto Arista	2 estrellas	5859	0	1920	0	4476	0	4476
2016	01	Centros de Playa	Otros	Tonalá Puerto Arista	3 estrellas	7812	0	3160	0	7299	0	7609
2016	01	Centros de Playa	Tradicionales	Acapulco	1 estrella	12183	0	2941	0	1338	0	5881
2016	01	Centros de Playa	Tradicionales	Acapulco	2 estrellas	56730	0	23383	0	29382	0	65863
2016	01	Centros de Playa	Tradicionales	Acapulco	3 estrellas	116605	0	37952	0	72959	0	81172
2016	01	Centros de Playa	Tradicionales	Acapulco	4 estrellas	206829	6718	109226	3830	255208	12706	300050
2016	01	Centros de Playa	Tradicionales	Acapulco	5 estrellas	184450	4986	115696	6101	210040	13229	304790
2016	01	Centros de Playa	Tradicionales	Cozumel	1 estrella	6603	367	2007	611	4180	627	4180
2016	01	Centros de Playa	Tradicionales	Cozumel	2 estrellas	5766	0	1165	0	2312	0	2312
2016	01	Centros de Playa	Tradicionales	Cozumel	3 estrellas	14074	3432	3779	1817	2954	7371	8301
2016	01	Centros de Playa	Tradicionales	Cozumel	4 estrellas	40331	18383	12129	10239	7714	38367	24441
2016	01	Centros de Playa	Tradicionales	Cozumel	5 estrellas	67208	36249	6130	14688	3992	72224	12642
2016	01	Centros de Playa	Tradicionales	La Paz	1 estrella	7936	622	1330	457	1310	658	2214
2016	01	Centros de Playa	Tradicionales	La Paz	2 estrellas	6820	68	1464	68	2071	68	2686
2016	01	Centros de Playa	Tradicionales	La Paz	3 estrellas	19871	364	8720	314	4626	370	10618
2016	01	Centros de Playa	Tradicionales	La Paz	4 estrellas	35557	3410	10158	2948	8704	5729	17986
2016	01	Centros de Playa	Tradicionales	La Paz	5 estrellas	12621	688	2004	516	1884	814	3366
2016	01	Centros de Playa	Tradicionales	Manzanillo	1 estrella	5518	0	1502	0	1116	0	3010
2016	01	Centros de Playa	Tradicionales	Manzanillo	2 estrellas	10261	0	3484	0	1595	0	8393
2016	01	Centros de Playa	Tradicionales	Manzanillo	3 estrellas	16988	451	8008	311	7005	700	15196
2016	01	Centros de Playa	Tradicionales	Manzanillo	4 estrellas	40188	807	14782	418	18854	1990	53216
2016	01	Centros de Playa	Tradicionales	Manzanillo	5 estrellas	37138	4462	18578	3586	12729	9576	45013
2016	01	Centros de Playa	Tradicionales	Mazatlán	1 estrella	13423	0	4038	0	7025	0	8457
2016	01	Centros de Playa	Tradicionales	Mazatlán	2 estrellas	22754	0	4802	0	7089	0	10413
2016	01	Centros de Playa	Tradicionales	Mazatlán	3 estrellas	34472	4979	13902	2233	18931	9082	28626
2016	01	Centros de Playa	Tradicionales	Mazatlán	4 estrellas	86986	6157	32817	2300	38400	11417	79845
2016	01	Centros de Playa	Tradicionales	Mazatlán	5 estrellas	128932	49606	37898	29021	33356	154110	131756
2016	01	Centros de Playa	Tradicionales	Veracruz-Boca del Río	1 estrella	46531	0	15458	0	30130	0	30130
2016	01	Centros de Playa	Tradicionales	Veracruz-Boca del Río	2 estrellas	49414	1005	20295	1582	39365	1975	39365
2016	01	Centros de Playa	Tradicionales	Veracruz-Boca del Río	3 estrellas	58950	449	12433	460	14197	770	27732
2016	01	Centros de Playa	Tradicionales	Veracruz-Boca del Río	4 estrellas	74059	5	36957	5	54883	5	72965
2016	01	Centros de Playa	Tradicionales	Veracruz-Boca del Río	5 estrellas	38719	1283	20153	1536	39837	1954	39837
2016	01	Centros de Playa	Tradicionales	Puerto Vallarta	1 estrella	12002	3794	3160	1441	3720	5880	6192
2016	01	Centros de Playa	Tradicionales	Puerto Vallarta	2 estrellas	9484	3776	3708	1962	3450	7996	10262
2016	01	Centros de Playa	Tradicionales	Puerto Vallarta	3 estrellas	52395	23868	19692	9217	12574	44054	49594
2016	01	Centros de Playa	Tradicionales	Puerto Vallarta	4 estrellas	108374	41955	47575	15807	31665	87344	109053
2016	01	Centros de Playa	Tradicionales	Puerto Vallarta	5 estrellas	199134	110251	49482	42435	33525	219340	114815
2016	01	Ciudades	Grandes	Ciudad de México	1 estrella	124651	24509	61751	34753	115269	59549	148968
2016	01	Ciudades	Grandes	Ciudad de México	2 estrellas	180110	4900	113015	3360	125580	7945	226975
2016	01	Ciudades	Grandes	Ciudad de México	3 estrellas	325128	33512	160058	28675	176351	61322	292563
2016	01	Ciudades	Grandes	Ciudad de México	4 estrellas	391533	42976	205487	22802	160363	66372	350738
2016	01	Ciudades	Grandes	Ciudad de México	5 estrellas	556791	115037	216692	70893	151509	186072	338228
2016	01	Ciudades	Grandes	Guadalajara	1 estrella	100983	109	43312	64	49740	141	82632
2016	01	Ciudades	Grandes	Guadalajara	2 estrellas	23340	36	6855	3	8532	36	14010
2016	01	Ciudades	Grandes	Guadalajara	3 estrellas	105229	636	36887	585	46548	1150	83024
2016	01	Ciudades	Grandes	Guadalajara	4 estrellas	196994	17258	72710	14220	62189	30670	129264
2016	01	Ciudades	Grandes	Guadalajara	5 estrellas	131254	13197	52483	9310	38473	17299	79773
2016	01	Ciudades	Grandes	Monterrey	1 estrella	3689	0	917	0	787	0	1589
2016	01	Ciudades	Grandes	Monterrey	2 estrellas	15686	121	3023	182	4433	182	5856
2016	01	Ciudades	Grandes	Monterrey	3 estrellas	42439	106	26466	82	12263	111	43856
2016	01	Ciudades	Grandes	Monterrey	4 estrellas	165819	15363	84436	8438	59598	17637	120102
2016	01	Ciudades	Grandes	Monterrey	5 estrellas	164906	25583	56658	15634	38702	32088	80392
2016	01	Ciudades	Interior	Aguascalientes	1 estrella	7936	0	1297	0	995	0	2594
2016	01	Ciudades	Interior	Aguascalientes	2 estrellas	19127	0	6806	0	7232	0	13174
2016	01	Ciudades	Interior	Aguascalientes	3 estrellas	36363	6413	10084	4414	6033	9453	12919
2016	01	Ciudades	Interior	Aguascalientes	4 estrellas	48246	2880	19138	706	14274	3211	28582
2016	01	Ciudades	Interior	Aguascalientes	5 estrellas	24769	3684	8598	1378	5353	4061	10132
2016	01	Ciudades	Interior	Campeche	1 estrella	4433	29	1237	44	2477	44	2488
2016	01	Ciudades	Interior	Campeche	2 estrellas	6076	1408	2603	1969	3077	2612	4362
2016	01	Ciudades	Interior	Campeche	3 estrellas	5532	373	1807	622	2203	678	3190
2016	01	Ciudades	Interior	Campeche	4 estrellas	18631	3244	5198	5230	7159	5945	10563
2016	01	Ciudades	Interior	Campeche	5 estrellas	8184	2895	2474	2557	2009	4795	3689
2016	01	Ciudades	Interior	Celaya	1 estrella	3968	51	1730	0	3269	51	3824
2016	01	Ciudades	Interior	Celaya	2 estrellas	12214	0	5042	0	6104	0	8603
2016	01	Ciudades	Interior	Celaya	3 estrellas	11160	0	5133	0	7310	0	8063
2016	01	Ciudades	Interior	Celaya	4 estrellas	32705	1302	12770	1208	17999	1855	22399
2016	01	Ciudades	Interior	Celaya	5 estrellas	3906	1721	1007	259	415	1878	1224
2016	01	Ciudades	Interior	Chihuahua	1 estrella	3998	76	2288	76	2337	76	2337
2016	01	Ciudades	Interior	Chihuahua	2 estrellas	6324	30	4664	22	3815	41	6522
2016	01	Ciudades	Interior	Chihuahua	3 estrellas	26009	593	7256	363	4585	899	9976
2016	01	Ciudades	Interior	Chihuahua	4 estrellas	34472	966	16742	987	17030	1117	21042
2016	01	Ciudades	Interior	Chihuahua	5 estrellas	52266	2164	15879	1298	9705	2659	22551
2016	01	Ciudades	Interior	Coatzacoalcos	1 estrella	2387	0	234	0	444	0	444
2016	01	Ciudades	Interior	Coatzacoalcos	2 estrellas	1965	0	581	0	460	0	1867
2016	01	Ciudades	Interior	Coatzacoalcos	3 estrellas	20491	0	9571	0	13861	0	14579
2016	01	Ciudades	Interior	Coatzacoalcos	4 estrellas	14973	0	9110	0	9256	0	11625
2016	01	Ciudades	Interior	Coatzacoalcos	5 estrellas	9889	833	3182	127	3199	878	4102
2016	01	Ciudades	Interior	Colima	1 estrella	5394	3	2832	3	1842	3	5442
2016	01	Ciudades	Interior	Colima	2 estrellas	2418	2	802	2	516	4	1554
2016	01	Ciudades	Interior	Colima	3 estrellas	4929	147	2150	147	1405	275	4133
2016	01	Ciudades	Interior	Colima	4 estrellas	13392	302	6941	507	7406	510	12235
2016	01	Ciudades	Interior	Colima	5 estrellas	3162	0	1739	0	757	0	2586
2016	01	Ciudades	Interior	Comitán de Domínguez	1 estrella	9641	356	3074	661	5139	661	5979
2016	01	Ciudades	Interior	Comitán de Domínguez	2 estrellas	4247	60	1519	130	2705	130	3143
2016	01	Ciudades	Interior	Comitán de Domínguez	3 estrellas	3630	7	933	14	1873	14	2112
2016	01	Ciudades	Interior	Comitán de Domínguez	4 estrellas	4619	0	1426	0	2189	0	2909
2016	01	Ciudades	Interior	Culiacán	1 estrella	5159	0	1349	0	2640	0	2640
2016	01	Ciudades	Interior	Culiacán	2 estrellas	5022	0	1384	0	2239	0	2595
2016	01	Ciudades	Interior	Culiacán	3 estrellas	25541	3585	8095	3009	15049	4589	15049
2016	01	Ciudades	Interior	Culiacán	4 estrellas	16244	0	5707	0	6524	0	10171
2016	01	Ciudades	Interior	Culiacán	5 estrellas	24118	1042	7563	906	8055	1988	13959
2016	01	Ciudades	Interior	Durango	1 estrella	3441	0	1356	0	1574	0	2398
2016	01	Ciudades	Interior	Durango	2 estrellas	6572	0	3751	0	5632	0	7082
2016	01	Ciudades	Interior	Durango	3 estrellas	11903	3	4709	1	5855	3	7810
2016	01	Ciudades	Interior	Durango	4 estrellas	24583	986	11903	986	7955	1832	15372
2016	01	Ciudades	Interior	Durango	5 estrellas	6727	163	3139	163	3362	164	3362
2016	01	Ciudades	Interior	El Fuerte	1 estrella	3720	51	557	102	1042	102	1042
2016	01	Ciudades	Interior	El Fuerte	2 estrellas	1147	26	237	52	481	52	481
2016	01	Ciudades	Interior	El Fuerte	3 estrellas	3038	43	440	77	890	77	890
2016	01	Ciudades	Interior	El Fuerte	5 estrellas	4340	277	696	576	1428	576	1428
2016	01	Ciudades	Interior	Guanajuato	1 estrella	3472	0	587	0	1283	0	1525
2016	01	Ciudades	Interior	Guanajuato	2 estrellas	17143	0	3948	0	11182	0	12364
2016	01	Ciudades	Interior	Guanajuato	3 estrellas	22940	151	8249	124	15694	191	19670
2016	01	Ciudades	Interior	Guanajuato	4 estrellas	31806	739	12722	758	22793	1590	26152
2016	01	Ciudades	Interior	Guanajuato	5 estrellas	17050	199	6525	287	7995	371	13044
2016	01	Ciudades	Interior	Hermosillo	2 estrellas	4030	0	1544	0	1197	0	2177
2016	01	Ciudades	Interior	Hermosillo	3 estrellas	15438	353	7054	375	8879	399	14512
2016	01	Ciudades	Interior	Hermosillo	4 estrellas	51297	649	20209	848	17683	1025	42065
2016	01	Ciudades	Interior	Hermosillo	5 estrellas	15159	1494	6209	1045	4573	1940	7505
2016	01	Ciudades	Interior	Irapuato	1 estrella	5053	0	2025	0	3405	0	3450
2016	01	Ciudades	Interior	Irapuato	2 estrellas	6045	0	1989	0	2887	0	4102
2016	01	Ciudades	Interior	Irapuato	3 estrellas	9734	42	5570	25	7307	87	9774
2016	01	Ciudades	Interior	Irapuato	4 estrellas	24738	0	13674	0	10765	0	18788
2016	01	Ciudades	Interior	Irapuato	5 estrellas	8370	464	2947	252	3180	520	4559
2016	01	Ciudades	Interior	León	1 estrella	19499	0	10117	0	19594	0	20002
2016	01	Ciudades	Interior	León	2 estrellas	16213	0	6395	0	7705	0	11930
2016	01	Ciudades	Interior	León	3 estrellas	40017	0	16485	0	31331	0	35394
2016	01	Ciudades	Interior	León	4 estrellas	49600	0	26941	0	43978	0	45617
2016	01	Ciudades	Interior	León	5 estrellas	44888	3033	24382	1254	22561	3667	38239
2016	01	Ciudades	Interior	Los Mochis	1 estrella	4588	6	1044	10	2111	10	2111
2016	01	Ciudades	Interior	Los Mochis	2 estrellas	6355	6	3730	11	5448	11	6571
2016	01	Ciudades	Interior	Los Mochis	3 estrellas	9734	39	3289	60	5154	60	5719
2016	01	Ciudades	Interior	Los Mochis	4 estrellas	15779	219	6322	144	5253	327	9888
2016	01	Ciudades	Interior	Los Mochis	5 estrellas	3813	3	1744	6	2907	6	3637
2016	01	Ciudades	Interior	Mérida	1 estrella	17298	2425	5460	4525	6849	4525	10430
2016	01	Ciudades	Interior	Mérida	2 estrellas	11625	69	4589	143	8003	173	8995
2016	01	Ciudades	Interior	Mérida	3 estrellas	38874	2143	20281	1773	17439	3560	32639
2016	01	Ciudades	Interior	Mérida	4 estrellas	53475	7085	27330	6526	21477	13515	50462
2016	01	Ciudades	Interior	Mérida	5 estrellas	69378	8682	32391	7511	21003	12476	43602
2016	01	Ciudades	Interior	Morelia	1 estrella	8215	0	1554	0	2189	0	2547
2016	01	Ciudades	Interior	Morelia	2 estrellas	12586	19	4415	22	6482	35	8059
2016	01	Ciudades	Interior	Morelia	3 estrellas	28520	0	7462	0	12931	0	14158
2016	01	Ciudades	Interior	Morelia	4 estrellas	51088	0	27463	0	23249	0	38799
2016	01	Ciudades	Interior	Morelia	5 estrellas	21855	136	3957	182	4685	273	7914
2016	01	Ciudades	Interior	Oaxaca	1 estrella	24707	2078	7507	1264	13987	3100	14859
2016	01	Ciudades	Interior	Oaxaca	2 estrellas	32736	225	11962	295	18061	377	24342
2016	01	Ciudades	Interior	Oaxaca	3 estrellas	41516	517	18329	557	28044	959	33609
2016	01	Ciudades	Interior	Oaxaca	4 estrellas	61194	5709	25397	5597	30732	11227	58816
2016	01	Ciudades	Interior	Oaxaca	5 estrellas	15283	2036	7148	1444	4910	3441	15123
2016	01	Ciudades	Interior	Pachuca	2 estrellas	5239	0	1737	0	2731	0	3961
2016	01	Ciudades	Interior	Pachuca	3 estrellas	22072	89	11108	57	18751	143	22655
2016	01	Ciudades	Interior	Pachuca	4 estrellas	9052	212	6270	140	7553	342	12508
2016	01	Ciudades	Interior	Pachuca	5 estrellas	11780	529	7342	188	6800	623	13162
2016	01	Ciudades	Interior	Palenque	1 estrella	24152	168	6677	343	13103	343	13103
2016	01	Ciudades	Interior	Palenque	2 estrellas	10540	173	3376	340	6923	340	6928
2016	01	Ciudades	Interior	Palenque	3 estrellas	11930	1188	1994	2432	3704	2449	4156
2016	01	Ciudades	Interior	Palenque	4 estrellas	18121	2589	4741	4517	8743	4984	9823
2016	01	Ciudades	Interior	Palenque	5 estrellas	7688	1248	2333	1604	3998	2307	4921
2016	01	Ciudades	Interior	Puebla	1 estrella	15810	565	10728	1129	22244	1694	48251
2016	01	Ciudades	Interior	Puebla	2 estrellas	14074	938	7619	1877	15575	2815	34791
2016	01	Ciudades	Interior	Puebla	3 estrellas	64389	7291	27424	24055	58823	34715	98861
2016	01	Ciudades	Interior	Puebla	4 estrellas	95449	10401	50392	6506	30952	14630	76454
2016	01	Ciudades	Interior	Puebla	5 estrellas	54183	10899	18729	11351	18685	22319	33870
2016	01	Ciudades	Interior	Querétaro	1 estrella	6266	59	2649	59	4042	59	5773
2016	01	Ciudades	Interior	Querétaro	2 estrellas	11138	103	5083	170	5804	206	10355
2016	01	Ciudades	Interior	Querétaro	3 estrellas	24552	324	11959	215	12485	502	21923
2016	01	Ciudades	Interior	Querétaro	4 estrellas	63873	5728	28283	2347	26832	8896	47166
2016	01	Ciudades	Interior	Querétaro	5 estrellas	94612	8105	37447	3778	27088	9638	57988
2016	01	Ciudades	Interior	Salamanca	1 estrella	3782	0	1341	0	1375	0	2107
2016	01	Ciudades	Interior	Salamanca	3 estrellas	8184	0	1877	0	2404	0	3252
2016	01	Ciudades	Interior	Salamanca	4 estrellas	3627	717	713	15	966	721	1189
2016	01	Ciudades	Interior	Salamanca	5 estrellas	6417	784	886	894	1251	1217	1559
2016	01	Ciudades	Interior	San Cristóbal de las Casas	1 estrella	31062	1150	9189	2089	16350	2144	19007
2016	01	Ciudades	Interior	San Cristóbal de las Casas	2 estrellas	14663	57	4881	186	9568	186	9689
2016	01	Ciudades	Interior	San Cristóbal de las Casas	3 estrellas	25262	970	7156	2123	15013	2132	15022
2016	01	Ciudades	Interior	San Cristóbal de las Casas	4 estrellas	28055	4442	9153	6398	14390	8577	17753
2016	01	Ciudades	Interior	San Cristóbal de las Casas	5 estrellas	3752	349	1354	674	2968	703	3074
2016	01	Ciudades	Interior	San Juan de los Lagos	1 estrella	37603	0	4839	0	18341	0	18341
2016	01	Ciudades	Interior	San Juan de los Lagos	2 estrellas	20181	0	3303	0	10389	0	10389
2016	01	Ciudades	Interior	San Juan de los Lagos	3 estrellas	22909	0	5396	0	20855	0	20855
2016	01	Ciudades	Interior	San Juan de los Lagos	4 estrellas	13144	0	5082	0	18469	0	18469
2016	01	Ciudades	Interior	San Juan de los Lagos	5 estrellas	7998	0	1501	0	4156	0	4156
2016	01	Ciudades	Interior	San Juan del Río	1 estrella	3162	0	1639	0	2656	0	3761
2016	01	Ciudades	Interior	San Juan del Río	2 estrellas	3255	37	1302	35	2048	67	2523
2016	01	Ciudades	Interior	San Juan del Río	3 estrellas	5797	35	1479	16	2194	48	3113
2016	01	Ciudades	Interior	San Juan del Río	4 estrellas	9455	108	3534	46	3576	156	6470
2016	01	Ciudades	Interior	San Juan del Río	5 estrellas	11626	99	5416	48	3719	110	8557
2016	01	Ciudades	Interior	San Luis Potosí	1 estrella	5177	3	2301	5	3652	5	4434
2016	01	Ciudades	Interior	San Luis Potosí	2 estrellas	14756	0	5733	0	4974	0	9055
2016	01	Ciudades	Interior	San Luis Potosí	3 estrellas	24769	0	9510	0	9970	0	18226
2016	01	Ciudades	Interior	San Luis Potosí	4 estrellas	67308	8050	37720	2767	24144	8288	56422
2016	01	Ciudades	Interior	San Luis Potosí	5 estrellas	24788	4432	9681	1811	10155	5103	19918
2016	01	Ciudades	Interior	San Miguel de Allende	1 estrella	1829	0	496	0	1117	0	1141
2016	01	Ciudades	Interior	San Miguel de Allende	2 estrellas	1984	144	636	66	1104	206	1355
2016	01	Ciudades	Interior	San Miguel de Allende	3 estrellas	12370	1633	3256	775	4082	2653	6994
2016	01	Ciudades	Interior	San Miguel de Allende	4 estrellas	12958	554	6332	484	6845	1075	12484
2016	01	Ciudades	Interior	San Miguel de Allende	5 estrellas	29760	3088	9205	3134	14345	6071	19803
2016	01	Ciudades	Interior	Taxco	1 estrella	1342	0	526	0	1052	0	1052
2016	01	Ciudades	Interior	Taxco	2 estrellas	4727	0	1799	0	4026	0	4026
2016	01	Ciudades	Interior	Taxco	3 estrellas	7657	0	3766	0	10073	0	10073
2016	01	Ciudades	Interior	Taxco	4 estrellas	3419	0	518	0	1197	0	1197
2016	01	Ciudades	Interior	Taxco	5 estrellas	8603	0	3014	0	6188	0	6188
2016	01	Ciudades	Interior	Tequisquiapan	2 estrellas	5840	0	1303	0	2236	0	3193
2016	01	Ciudades	Interior	Tequisquiapan	3 estrellas	7292	7	1234	5	2102	14	3089
2016	01	Ciudades	Interior	Tequisquiapan	4 estrellas	8537	3	1373	3	2015	5	3247
2016	01	Ciudades	Interior	Tequisquiapan	5 estrellas	3875	0	538	0	765	0	1217
2016	01	Ciudades	Interior	Tlaxcala	1 estrella	3472	0	556	0	968	0	1051
2016	01	Ciudades	Interior	Tlaxcala	2 estrellas	2666	15	499	13	934	15	1028
2016	01	Ciudades	Interior	Tlaxcala	3 estrellas	7378	47	1768	35	2561	100	3082
2016	01	Ciudades	Interior	Tlaxcala	4 estrellas	5270	28	1154	2	1273	28	1846
2016	01	Ciudades	Interior	Toluca	1 estrella	6138	0	1845	0	3753	0	3753
2016	01	Ciudades	Interior	Toluca	2 estrellas	7998	0	3371	0	6741	0	6741
2016	01	Ciudades	Interior	Toluca	3 estrellas	13392	0	4485	0	8535	0	8535
2016	01	Ciudades	Interior	Toluca	4 estrellas	49631	1434	15347	653	15719	1456	19810
2016	01	Ciudades	Interior	Toluca	5 estrellas	31260	3019	11164	2566	9736	3262	14409
2016	01	Ciudades	Interior	Tuxtla Gutiérrez	1 estrella	20894	0	6507	0	9196	0	10537
2016	01	Ciudades	Interior	Tuxtla Gutiérrez	2 estrellas	29884	111	6818	154	9864	195	13452
2016	01	Ciudades	Interior	Tuxtla Gutiérrez	3 estrellas	15965	67	4853	94	6909	122	8825
2016	01	Ciudades	Interior	Tuxtla Gutiérrez	4 estrellas	22446	782	8435	774	10956	1310	15432
2016	01	Ciudades	Interior	Tuxtla Gutiérrez	5 estrellas	25916	143	12304	108	12014	237	21542
2016	01	Ciudades	Interior	Valle de Bravo	1 estrella	2542	0	1119	0	2344	0	2344
2016	01	Ciudades	Interior	Valle de Bravo	2 estrellas	2635	0	269	0	684	0	684
2016	01	Ciudades	Interior	Valle de Bravo	3 estrellas	4898	0	730	0	1488	0	1806
2016	01	Ciudades	Interior	Valle de Bravo	4 estrellas	2356	0	210	0	510	0	510
2016	01	Ciudades	Interior	Valle de Bravo	5 estrellas	7285	87	2983	161	5923	161	5923
2016	01	Ciudades	Interior	Villahermosa	1 estrella	1953	0	357	0	494	0	674
2016	01	Ciudades	Interior	Villahermosa	2 estrellas	3573	0	715	0	1180	0	1229
2016	01	Ciudades	Interior	Villahermosa	3 estrellas	45880	1307	17533	1282	16015	2032	30193
2016	01	Ciudades	Interior	Villahermosa	4 estrellas	45787	1022	14790	632	16417	1407	27321
2016	01	Ciudades	Interior	Villahermosa	5 estrellas	28396	3408	10095	3036	11364	6464	17957
2016	01	Ciudades	Interior	Xalapa	1 estrella	2728	70	1016	58	1666	115	1771
2016	01	Ciudades	Interior	Xalapa	2 estrellas	12307	534	6131	370	4676	893	9413
2016	01	Ciudades	Interior	Xalapa	3 estrellas	27023	17	8222	2	12381	17	13852
2016	01	Ciudades	Interior	Xalapa	4 estrellas	20893	63	8704	61	13958	123	16030
2016	01	Ciudades	Interior	Xalapa	5 estrellas	9920	310	2039	312	3027	312	3027
2016	01	Ciudades	Interior	Zacatecas	1 estrella	6417	985	1060	546	770	2020	2194
2016	01	Ciudades	Interior	Zacatecas	2 estrellas	4486	0	2434	0	5163	0	5394
2016	01	Ciudades	Interior	Zacatecas	3 estrellas	15903	0	5566	0	7017	0	9623
2016	01	Ciudades	Interior	Zacatecas	4 estrellas	46312	324	16632	324	18675	509	30320
